temperature,humidity,rainfall,label
27.04,74.93,1316.3,sugarcane
23.23,77.48,501.6,maize
28.41,58.57,756.8,cotton
28.92,84.45,1156.6,sugarcane
28.95,58.1,235.3,cucumber
29.77,68.51,1054.4,rice
29.82,85.46,1164.6,rice
27.95,65.76,399.8,moong
23.72,63.28,442.7,sunflower
27.23,72.05,330.6,sunflower
28.05,43.78,767.8,arhar
28.39,74.8,1750.3,sugarcane
26.83,50.91,1163.4,sugarcane
17.49,86.11,91.4,mustard
25.43,45.0,574.7,maize
13.38,78.76,304.0,potato
28.56,84.64,1226.8,sugarcane
11.46,72.93,398.1,peas
32.84,80.78,1735.4,sugarcane
25.16,45.22,1499.4,rice
22.47,46.28,418.4,sunflower
33.74,42.6,1525.6,sugarcane
17.41,44.19,127.5,barley
12.27,40.42,252.1,wheat
24.2,72.84,507.9,maize
25.98,54.31,700.8,cotton
10.16,70.22,320.3,peas
27.09,79.61,422.3,moong
22.57,85.23,298.7,chickpea
26.23,72.84,80.3,watermelon
24.52,55.21,698.7,arhar
31.56,81.99,460.0,jowar
27.77,65.2,223.6,cucumber
24.78,64.59,800.5,cotton
21.44,53.72,339.1,wheat
18.4,64.08,193.2,barley
29.48,88.49,1772.8,rice
29.86,84.64,830.8,groundnut
33.42,77.66,130.9,watermelon
25.77,42.76,985.0,cotton
29.54,83.23,754.6,cotton
22.48,79.3,111.8,chickpea
23.81,74.63,839.6,maize
27.23,71.17,1451.2,rice
24.22,53.03,294.4,chickpea
28.18,62.07,739.8,arhar
29.54,40.01,677.7,okra
22.43,79.08,157.5,mustard
26.54,46.64,1197.2,sugarcane
15.45,64.92,330.8,peas
29.93,61.05,1004.0,rice
33.52,73.23,398.0,moong
32.29,73.12,429.2,okra
21.42,81.27,170.8,barley
29.25,57.74,642.0,groundnut
34.75,70.71,555.3,moong
29.68,70.21,912.0,soybean
21.93,72.13,378.6,wheat
25.08,59.79,635.5,maize
27.52,65.2,1584.6,sugarcane
19.7,61.4,80.1,chickpea
32.56,74.72,426.4,moong
25.42,44.0,553.6,moong
12.9,58.71,360.9,potato
26.33,56.67,430.3,moong
28.66,87.71,826.9,soybean
33.35,43.19,1419.3,sugarcane
33.48,61.17,505.3,moong
25.52,42.78,82.3,cucumber
18.77,53.14,180.7,chickpea
28.39,41.99,834.9,arhar
16.07,54.58,132.1,mustard
28.82,86.73,620.9,jowar
32.86,52.27,1598.2,sugarcane
34.98,42.62,1742.3,sugarcane
18.56,49.2,257.1,mustard
29.51,51.77,858.0,cotton
25.19,49.1,1423.7,sugarcane
31.62,49.17,73.1,cucumber
31.25,70.37,703.7,cotton
27.81,54.54,1613.0,rice
29.86,63.89,713.6,groundnut
25.26,52.66,443.9,bajra
29.8,76.8,765.1,jowar
23.42,86.49,126.8,cucumber
28.73,81.43,1206.8,rice
12.66,86.08,123.9,wheat
12.22,45.33,121.6,mustard
18.89,64.62,136.3,barley
26.34,71.89,880.3,soybean
29.01,83.33,163.0,watermelon
31.46,69.59,95.9,watermelon
29.25,82.81,568.5,groundnut
27.27,65.48,552.1,okra
29.94,60.51,545.9,moong
18.22,45.37,109.2,chickpea
25.5,44.96,463.7,bajra
33.86,86.95,441.5,moong
22.29,86.17,186.3,cucumber
19.05,85.31,289.9,barley
20.37,75.86,156.8,chickpea
31.44,62.92,733.6,jowar
18.97,67.21,301.0,wheat
26.63,72.26,502.1,moong
24.44,69.46,770.5,arhar
26.07,70.32,863.5,groundnut
