date,rain_1h_mm,rain_24h_mm,rain_72h_mm,water_level_cm,danger_level_cm,rise_cm_per_hr,soil_moisture_pct,forecast_rain_24h_mm,flood_occurred
synthetic-0000,0.1,0.4,0.4,140.2,450.0,0.2,32.5,26.7,0
synthetic-0001,9.7,92.0,152.1,276.0,450.0,12.7,88.7,101.2,1
synthetic-0002,7.6,103.2,144.9,247.1,450.0,-0.1,62.4,37.8,0
synthetic-0003,15.7,108.5,235.1,451.6,450.0,3.5,83.7,23.1,1
synthetic-0004,3.2,26.5,33.8,283.9,450.0,-2.3,44.1,0.6,0
synthetic-0005,8.9,86.5,124.9,332.5,450.0,9.8,80.0,38.5,1
synthetic-0006,12.3,41.4,60.2,227.1,450.0,2.0,76.3,2.1,0
synthetic-0007,1.4,12.2,16.8,279.6,450.0,0.7,44.3,0.4,0
synthetic-0008,5.0,42.9,66.6,160.8,450.0,-0.6,42.5,29.5,0
synthetic-0009,2.2,12.4,27.2,221.5,450.0,2.1,45.9,3.0,0
synthetic-0010,14.4,98.8,106.4,411.2,450.0,8.6,87.2,29.7,1
synthetic-0011,1.3,11.3,18.6,283.7,450.0,3.7,56.7,13.7,0
synthetic-0012,0.2,1.8,2.8,192.1,450.0,4.4,46.2,3.7,0
synthetic-0013,7.5,30.7,50.5,233.8,450.0,-0.4,49.5,17.3,0
synthetic-0014,0.0,0.0,0.0,94.4,450.0,4.2,41.7,21.4,0
synthetic-0015,19.3,103.2,162.1,105.6,450.0,0.7,29.5,1.6,0
synthetic-0016,9.2,30.9,42.4,137.7,450.0,-2.6,49.1,2.7,0
synthetic-0017,0.9,8.6,11.0,117.2,450.0,0.8,68.5,10.6,0
synthetic-0018,15.3,70.3,90.4,473.7,450.0,5.9,86.9,51.1,1
synthetic-0019,0.2,2.1,2.6,218.5,450.0,-3.0,59.5,19.8,0
synthetic-0020,1.1,8.3,12.3,254.0,450.0,-2.2,16.7,1.2,0
synthetic-0021,0.7,4.3,9.0,190.9,450.0,-0.9,60.7,3.4,0
synthetic-0022,17.5,101.9,122.3,278.1,450.0,5.0,48.4,22.7,0
synthetic-0023,17.5,60.4,91.1,311.7,450.0,0.2,81.1,7.3,0
synthetic-0024,2.9,12.2,20.1,124.8,450.0,-1.0,92.8,10.4,0
synthetic-0025,5.2,54.4,59.6,461.9,450.0,5.6,96.2,123.8,1
synthetic-0026,2.6,16.9,29.4,117.0,450.0,1.7,47.8,10.8,0
synthetic-0027,1.4,11.1,20.0,136.0,450.0,0.2,44.2,6.0,0
synthetic-0028,22.2,78.4,103.4,314.7,450.0,1.3,54.9,2.9,0
synthetic-0029,6.8,31.7,69.3,125.5,450.0,2.1,34.8,11.4,0
synthetic-0030,7.3,95.4,108.6,419.3,450.0,4.9,89.0,54.0,1
synthetic-0031,1.3,4.8,7.6,251.5,450.0,1.3,75.4,3.7,0
synthetic-0032,0.3,1.5,1.9,152.3,450.0,3.9,55.6,12.2,0
synthetic-0033,3.7,42.9,72.9,288.7,450.0,2.6,44.3,21.6,0
synthetic-0034,0.4,5.5,7.2,269.1,450.0,3.2,30.3,2.8,0
synthetic-0035,8.2,32.3,70.2,229.6,450.0,3.1,83.5,24.0,0
synthetic-0036,0.0,0.4,0.7,164.7,450.0,3.8,43.6,23.9,0
synthetic-0037,0.4,1.7,2.3,283.2,450.0,1.1,82.2,7.4,0
synthetic-0038,0.1,0.4,0.6,163.9,450.0,3.9,25.5,3.9,0
synthetic-0039,0.9,11.5,15.2,116.0,450.0,1.7,53.3,39.4,0
